Franchise,Lg,From,To,Yrs,G,W,L,W-L%,Plyfs,Div,Conf,Champ
Atlanta Hawks,NBA,1950,2014,65,5060,2504,2556,.495,42,10,0,1
Atlanta Hawks,NBA,1969,2014,46,3642,1806,1836,.496,29,4,0,0
St. Louis Hawks,NBA,1956,1968,13,1005,553,452,.550,12,6,0,1
Milwaukee Hawks,NBA,1952,1955,4,281,91,190,.324,0,0,0,0
Tri-Cities Blackhawks,NBA,1950,1951,2,132,54,78,.409,1,0,0,0
Boston Celtics,NBA/BAA,1947,2014,68,5232,3108,2124,.594,51,30,9,17
Brooklyn Nets,NBA/ABA,1968,2014,47,3730,1631,2099,.437,24,5,2,2
Brooklyn Nets,NBA,2013,2014,2,82,49,33,.598,1,0,,
New Jersey Nets,NBA,1978,2012,35,2822,1186,1636,.420,16,4,2,0
New York Nets,NBA,1977,1977,1,82,22,60,.268,0,0,0,0
New York Nets,ABA,1969,1976,8,666,338,328,.508,7,1,0,2
New Jersey Americans,ABA,1968,1968,1,78,36,42,.462,0,0,0,0
Charlotte Bobcats,NBA,2005,2014,10,722,250,472,.346,1,0,0,0
Chicago Bulls,NBA,1967,2014,48,3805,1975,1830,.519,32,9,6,6
Cleveland Cavaliers,NBA,1971,2014,44,3478,1585,1893,.456,18,3,1,0
Dallas Mavericks,NBA,1981,2014,34,2658,1341,1317,.505,18,3,2,1
Denver Nuggets,NBA/ABA,1968,2014,47,3730,1877,1853,.503,33,10,0,0
Denver Nuggets,NBA,1977,2014,38,2986,1464,1522,.490,24,7,0,0
Denver Nuggets,ABA,1975,1976,2,168,125,43,.744,2,2,0,0
Denver Rockets,ABA,1968,1974,7,576,288,288,.500,7,1,0,0
Detroit Pistons,NBA/BAA,1949,2014,66,5122,2511,2611,.490,40,11,5,3
Detroit Pistons,NBA,1958,2014,57,4503,2198,2305,.488,32,9,5,3
Fort Wayne Pistons,NBA/BAA,1949,1957,9,619,313,306,.506,8,2,0,0
Golden State Warriors,NBA/BAA,1947,2014,68,5228,2399,2829,.459,29,7,1,3
Golden State Warriors,NBA,1972,2014,43,3396,1511,1885,.445,12,2,1,1
San Francisco Warriors,NBA,1963,1971,9,729,330,399,.453,5,2,0,0
Philadelphia Warriors,NBA/BAA,1947,1962,16,1103,558,545,.506,12,3,0,2
Houston Rockets,NBA,1968,2014,47,3724,1901,1823,.510,27,4,4,2
Houston Rockets,NBA,1972,2014,43,3396,1782,1614,.525,26,4,4,2
San Diego Rockets,NBA,1968,1971,4,328,119,209,.363,1,0,0,0
Indiana Pacers,NBA/ABA,1968,2014,47,3729,1894,1835,.508,30,8,1,3
Indiana Pacers,NBA,1977,2014,38,2985,1467,1518,.491,21,5,1,0
